state,city,centre,date,capacity
Andaman And Nicobar,Port Blair,Dexit Global Limited - Port Blair,10-MAY-2026,5
Andhra Pradesh,Anantapur,Dexit Global Limited - Anantapur,06-MAY-2026,5
Andhra Pradesh,Anantapur,Dexit Global Limited - Anantapur,10-MAY-2026,4
Andhra Pradesh,Anantapur,Dexit Global Limited - Anantapur,29-APR-2026,2
Andhra Pradesh,Eluru,Dexit Global Limited - Eluru,03-MAY-2026,5
Andhra Pradesh,Eluru,Dexit Global Limited - Eluru,10-MAY-2026,5
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,02-MAY-2026,7
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,04-MAY-2026,7
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,05-MAY-2026,7
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,06-MAY-2026,7
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,07-MAY-2026,7
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,09-MAY-2026,7
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,10-MAY-2026,10
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,10-MAY-2026,9
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,27-APR-2026,5
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,27-APR-2026,7
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,28-APR-2026,3
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,28-APR-2026,5
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,28-APR-2026,6
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,29-APR-2026,1
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,29-APR-2026,2
Andhra Pradesh,Guntur,Dexit Global Limited - Guntur,29-APR-2026,5
Andhra Pradesh,Kadapa,Dexit Global Limited - Kadapa,10-MAY-2026,8
Andhra Pradesh,Kurnool,Dexit Global Limited - Kurnool,10-MAY-2026,5
Andhra Pradesh,Nellore,Dexit Global Limited - Nellore,09-MAY-2026,6
Andhra Pradesh,Ongole,Dexit Global Limited - Ongole,10-MAY-2026,7
Andhra Pradesh,Rajamahendravaram,Dexit Global Limited - Rajamahendravaram,10-MAY-2026,4
Andhra Pradesh,Srikakulam,Dexit Global Limited - Srikakulam,09-MAY-2026,6
Andhra Pradesh,Srikakulam,Dexit Global Limited - Srikakulam,10-MAY-2026,6
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,04-MAY-2026,3
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,05-MAY-2026,3
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,06-MAY-2026,3
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,07-MAY-2026,3
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,09-MAY-2026,2
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,10-MAY-2026,4
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,28-APR-2026,2
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,28-APR-2026,3
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,29-APR-2026,1
Andhra Pradesh,Tirupati,Dexit Global Limited - Tirupati,29-APR-2026,2
Andhra Pradesh,Vijayawada,Dexit Global Limited - Vijayawada,04-MAY-2026,5
Andhra Pradesh,Vijayawada,Dexit Global Limited - Vijayawada,05-MAY-2026,5
Andhra Pradesh,Vijayawada,Dexit Global Limited - Vijayawada,06-MAY-2026,5
Andhra Pradesh,Vijayawada,Dexit Global Limited - Vijayawada,07-MAY-2026,5
